id,input_path,state_type,state_name,log_path,memory_gi,deployment_name,work_pool_name,area
af64d509-5306-4505-bc53-b2b35c803f64,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240105_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,153145092.0
130153b6-7e5e-400b-8a84-4a9637bf4354,,COMPLETED,Completed,,,,,
80e26afc-ae41-4557-ad37-a25fb6019f40,,COMPLETED,Completed,,,,,
4010e502-730b-458b-bf69-cc82c29ad8ec,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240824_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,149325150.0
19d65187-3057-4054-ac46-89e2e88e5b35,,COMPLETED,Completed,,,,,
f676faa0-a80a-4737-baed-fb3aaea73cc6,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240619_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,158413290.0
bf28fcd4-8614-4edc-af2b-84deab96035b,,COMPLETED,Completed,,,,,
c257a0c5-f865-4469-9ebd-ee5c962ad25f,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240212_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,146940804.0
c9f50b58-5ffa-48f9-804c-6a6ebdd649bf,,COMPLETED,Completed,,,,,
10c3ba5e-12c7-4992-b63e-2069691991ae,,COMPLETED,Completed,,,,,
0de1d629-8764-4c5b-b2d3-27a4249a4ae9,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240320_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,166139100.0
2e1cc269-b91f-45ca-a5f0-027a68f43661,,COMPLETED,Completed,,,,,
4e1ad4f4-db4c-4c08-a0f6-5c0e9c07c1d8,,COMPLETED,Completed,,,,,
267edb52-32d1-411c-b6b8-b34ad8aaca05,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240804_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,152888994.0
9b221098-6379-4302-8f5b-505a9d37357c,,COMPLETED,Completed,,,,,
3576789b-841f-41ac-a8d3-d2f93894d722,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20241124_DPRK_NFC_Yongbyon_arс_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,130611090.0
f624afc8-613c-4c69-95a5-bbd979e88f4b,,COMPLETED,Completed,,,,,
a510b344-5ea3-4bab-9bfe-acd98dc468ec,/nas/COG/planet/Y2024/M05/D14/planet_20240514_060111_ssc10_u0001/20240514_060111_ssc10_u0001_pansharpened_clip_cog.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,92702547.0
37880e04-f065-4ac9-9c5a-415d01c1c899,,COMPLETED,Completed,,,,,
8e5d3fb8-64ec-4cc3-84f6-5776d23f6d70,/nas/COG/planet/Y2024/M09/D24/planet_20240924_060428_ssc9_u0001/20240924_060428_ssc9_u0001_pansharpened_clip_cog.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,92702547.0
f8d8d433-6f79-421d-b4d0-5702d9777ed1,,COMPLETED,Completed,,,,,
f13a43b6-8c7e-4797-99c2-009b63113a4a,,COMPLETED,Completed,,,,,
aff1d453-c287-4921-9061-6ad8d0e86c1b,/nas/COG/planet/Y2024/M10/D16/planet_20241016_005105_ssc13_u0001/20241016_005105_ssc13_u0001_pansharpened_clip_cog.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,92702547.0
e917596e-d004-4f1c-86dd-f432634cc1e5,/nas/COG/planet/Y2024/M12/D03/planet_20241203_060223_ssc9_u0001/20241203_060223_ssc9_u0001_pansharpened_clip_cog.tif,COMPLETED,Completed,,,EO-Detection-Aircraft,modint-prefect-workpool-2,92702547.0
c54803fe-403f-44d3-acc7-2e821a6121e2,,COMPLETED,Completed,,,,,
a0fcf4ee-0c84-4593-af51-2666f2db4822,/nas/Dataset/s3/sia_aws_s3/sia-paxsapiens/raw/G-NKI01A/Planet/Yongbyon/20240804_DPRK_NFC_Yongbyon_arc_skysatscene_pansharpened_udm2/composite.tif,COMPLETED,Completed,,,EO-Detection-Ship,modint-prefect-workpool-2,152888994.0
12208e1e-8440-43dd-830c-8f5d3c508970,,COMPLETED,Completed,,,,,
314fcb5d-d632-497e-8084-0fe9010e7753,,COMPLETED,Completed,,,,,
49884f2c-c524-463c-8511-9585f94e3e2b,,COMPLETED,Completed,,,,,
5e39e66b-a3d5-4fd3-a6dd-10976a17ecf8,,CANCELLED,Cancelled,,,,,
ab86e4a3-c25c-4807-8247-4511b817ebac,,COMPLETED,Completed,,,,,
f91640e6-22f4-4572-a22d-275b2786102c,/nas/Projects/C-BIZ01A/Planet/KARI/20230907_012316_05_2464_3B_AnalyticMS_SR.tif,COMPLETED,Completed,,64.0,SkySat-SR-RGBN,modint-prefect-workpool-2,102187644.0
